Date,Growth,Value
195611,-0.4,0.99
195612,3.83,1.81
195701,-4.4,-0.75
195702,-1.55,-2.98
195703,2.7,1.85
195704,5.56,2.53
195705,4.71,1.8
195706,-0.12,-0.37
195707,1.26,0.91
195708,-5.45,-5.84
195709,-6.34,-6.16
195710,-3.82,-7.54
195711,3.1,-0.09
195712,-3.93,-5.88
195801,3.49,12.03
195802,-1.81,-1.83
195803,3.42,3.33
195804,3.33,4.96
195805,2.11,3.87
195806,3.13,3.05
195807,4.38,7.5
195808,1.73,3.46
195809,4.77,8.08
195810,2.65,3.83
195811,3.36,4.41
195812,4.95,3.92
195901,-0.57,4.48
195902,0.48,2.43
195903,0.75,0.39
195904,4.7,3.44
195905,2.7,3.02
195906,-0.36,2.06
195907,3.96,3.19
195908,-1.36,-0.73
195909,-5.03,-5.04
195910,1.48,0.36
195911,3.02,0
195912,2.98,3.71
196001,-8.17,-5.02
196002,1.32,-0.71
196003,-0.9,-4.8
196004,-1.55,-3
196005,4.32,0.37
196006,2.56,2.55
196007,-3.48,-1.35
196008,2.77,2.7
196009,-6.76,-5.37
196010,-0.71,0.14
196011,5.44,3.81
196012,3.57,3.44
196101,4.97,9.96
196102,4.07,3.97
196103,2.27,2.86
196104,-0.28,2.51
196105,3.2,3.22
196106,-2.34,-3.49
196107,3.08,1.15
196108,3.17,2.07
196109,-1.2,-3.69
196110,2.27,2.56
196111,4.88,4.33
196112,-0.24,1.5
196201,-4.97,0.73
196202,1.85,2.35
196203,-0.35,-1.85
196204,-6.63,-6.26
196205,-9.12,-6.88
196206,-9.03,-6.73
196207,7.88,4.07
196208,2.78,2.49
196209,-5.08,-4.7
196210,0.47,-0.15
196211,11.43,13.92
196212,1.43,0.25
196301,5,7.7
196302,-2.79,-0.8
196303,3.35,4.58
196304,4.97,5.61
196305,2.24,4.01
196306,-2.3,-0.6
196307,-0.06,-1.52
196308,5.37,7.1
196309,-1.11,-1.92
196310,3.79,2.19
196311,-0.3,0.49
196312,2,1.57
196401,2.65,2.85
196402,1.43,4.37
196403,0.92,3.41
196404,0.37,-1.1
196405,1.5,3.65
196406,1.66,2.25
196407,1.92,2.38
196408,-1.24,-1.33
196409,2.41,5.16
196410,0.3,1.58
196411,0.48,-2.9
196412,1.1,-1.86
196501,4.03,5
196502,0.68,1.06
196503,-1.07,0.58
196504,3.78,3.46
196505,-0.26,-2.06
196506,-4.68,-5.58
196507,1.37,4.11
196508,3,3.14
196509,3.79,3.65
196510,2.89,5.72
196511,0.1,0.97
196512,0.92,4.23
196601,-0.06,4.97
196602,-1.46,0.43
196603,-1.52,-3.43
196604,2.56,2.71
196605,-4.39,-8
196606,-1.91,-0.12
196607,-1.68,-1.08
196608,-7.75,-8.02
196609,-1.03,-0.69
196610,3.08,4.15
196611,3.82,0.03
196612,-0.24,0.01
196701,8.23,13.58
196702,2.08,-0.09
196703,4.37,5.48
196704,5.98,3.2
196705,-4.83,-2.22
196706,1.77,5.33
196707,4.99,8.01
196708,-0.73,1.06
196709,3.93,2.15
196710,-1.48,-4.93
196711,1.1,-0.35
196712,2.48,5.16
196801,-5.96,0
196802,-3.49,-3.77
196803,1.72,0.11
196804,10.5,12.34
196805,2.75,6.07
196806,-0.02,0.23
196807,-4.6,0.4
196808,1.34,2.69
196809,3.66,5.05
196810,-0.62,2.93
196811,5.76,5.64
196812,-4.42,-3.12
196901,-1.82,0.26
196902,-4.52,-5.35
196903,3.83,2.84
196904,3.04,2.64
196905,-0.19,0.82
196906,-4.13,-7.43
196907,-5.33,-6.23
196908,6.77,2.77
196909,-0.57,-4.57
196910,6.72,4.09
196911,-2.39,-3.82
196912,-0.37,-4.57
197001,-7.92,-5.28
197002,3.7,7.86
197003,-2.03,0.99
197004,-11.34,-7.91
197005,-8.05,-4.59
197006,-5.69,-6.85
197007,5.36,7.73
197008,4.26,6.02
197009,7.89,4.62
197010,-1.12,-3.04
197011,4.76,5.84
197012,5.55,6.31
197101,5.07,6.32
197102,2.53,2.1
197103,6.06,2.43
197104,3.85,4.88
197105,-2.85,-4.62
197106,1.08,-0.45
197107,-4.24,-5.13
197108,5.44,8.01
197109,0.39,-2.41
197110,-3.99,-4.84
197111,0.69,-2.1
197112,9.15,10.15
197201,2.92,6.49
197202,4.55,1.41
197203,2.16,0.6
197204,0.78,0.95
197205,2.73,-1.85
197206,-1.17,-5.52
197207,0.36,-1.27
197208,1.4,6.55
197209,-0.6,-0.28
197210,0.4,1.27
197211,2.99,9.24
197212,2.52,-0.81
197301,-2.79,-1.73
197302,-3.31,-5.04
197303,-1.32,0.95
197304,-6.22,-1.82
197305,-1.16,-3.8
197306,-1,-1.09
197307,7,5.92
197308,-3.28,-1.64
197309,2.71,8.99
197310,-0.27,0.08
197311,-13.06,-12
197312,-1.23,4.41
197401,-0.62,6.3
197402,-1,2.05
197403,-1.64,-2.15
197404,-3.55,-4.13
197405,-2.11,-6.32
197406,-2.14,-2.2
197407,-9.26,-2.84
197408,-10.06,-7.19
197409,-13.72,-7.21
197410,20.97,7.94
197411,-4.01,-4.46
197412,-3.42,-4.16
197501,11.11,24.01
197502,8.11,2.63
197503,3.13,7.53
197504,5.79,5.69
197505,5.9,2.74
197506,4.36,7.24
197507,-7.31,-3.69
197508,-2.29,-4.06
197509,-3.99,-3.61
197510,6.34,4.56
197511,2.93,4.22
197512,-1.77,0.21
197601,11.03,20.88
197602,-1.02,7.87
197603,2.91,2.07
197604,-1.6,-1.48
197605,-0.64,-1.86
197606,4.36,5.01
197607,-1.23,0.51
197608,-0.5,-1.06
197609,2.26,2.67
197610,-2.38,-2.9
197611,-0.5,2.72
197612,4.94,9.25
197701,-6.06,1
197702,-1.78,-1.2
197703,-1.61,0.4
197704,-1.01,3.61
197705,-1.86,-0.75
197706,5.76,5.6
197707,-1.45,-1.97
197708,0.28,-2.48
197709,-0.57,-0.28
197710,-4.4,-2.65
197711,4.36,5.92
197712,0.37,1.29
197801,-6.32,-2.54
197802,-2.33,-0.34
197803,2.54,5.04
197804,11,6.9
197805,2.3,3.42
197806,-1.34,-0.86
197807,6.91,5.89
197808,4.11,3.66
197809,-2.46,-0.2
197810,-11.26,-13.35
197811,3.4,3.34
197812,2.82,0.19
197901,3.87,7.43
197902,-3.62,-2.65
197903,6.37,7.77
197904,0.34,1.32
197905,-1.91,-1.11
197906,3.48,5.76
197907,0.74,3.05
197908,7.08,5.78
197909,-0.64,-0.8
197910,-7.03,-8.94
197911,6.96,4.63
197912,3.62,2.57
198001,5.3,8.01
198002,-2.74,-0.23
198003,-10.36,-13.95
198004,4.03,6.11
198005,6.01,6.8
198006,3.3,2.8
198007,9.8,3.46
198008,2.82,2.07
198009,4.18,-0.62
198010,2.29,-0.24
198011,11.68,4.49
198012,-2.56,-0.82
198101,-5.65,1.73
198102,2.38,1.6
198103,4.36,5.65
198104,-1.64,1.57
198105,1.33,2.94
198106,-3.49,0.22
198107,0.74,-1.13
198108,-7.21,-2.86
198109,-6.9,-1.98
198110,8.37,4.66
198111,3.8,4.23
198112,-3.05,-2.28
198201,-2.27,0.22
198202,-7.33,-1.7
198203,-1.99,1.83
198204,5.81,2.83
198205,-3.48,-2.21
198206,-2.65,-1.64
198207,-0.87,-1.61
198208,10.91,12.68
198209,2.08,0.65
198210,13.25,9.94
198211,7.49,4.63
198212,1.15,1.49
198301,3.72,5.76
198302,3.76,2.87
198303,2.52,3.43
198304,6.04,7.18
198305,1.1,0.65
198306,5.36,1.02
198307,-5.3,-0.8
198308,-1.87,4.56
198309,2.16,1.19
198310,-4.4,-0.62
198311,3.19,2.21
198312,-1.11,-0.62
198401,-5.16,3.38
198402,-5.09,-1.81
198403,1.42,0.69
198404,0.19,1.51
198405,-4.98,-5.68
198406,4.43,2.41
198407,-1.83,-2.52
198408,11.56,11.31
198409,-2.43,3.07
198410,0.18,-0.44
198411,-2.65,0.89
198412,2.58,2.22
198501,11,5.98
198502,1.6,2.2
198503,-1.67,2.09
198504,-1.83,1.88
198505,5.8,5.03
198506,1.48,1.56
198507,0.59,-1.19
198508,-1.57,0.77
198509,-4.37,-4.34
198510,3.98,5.28
198511,8.86,4.92
198512,5.65,4.29
198601,1.03,1.63
198602,7.9,6.89
198603,5.96,4.46
198604,0.82,-2.93
198605,5.15,4.89
198606,1.6,2.5
198607,-7.68,-2.95
198608,4.32,8.97
198609,-9.93,-6.98
198610,5.52,5.15
198611,1.87,1.41
198612,-2.47,-2.78
198701,13.79,10.88
198702,7.68,0.46
198703,1.65,2.71
198704,-1.89,-1.71
198705,1.13,0.69
198706,4.33,4.61
198707,5.11,3.95
198708,4.54,2.76
198709,-2.03,-2.43
198710,-24.29,-20.39
198711,-8.49,-5.56
198712,9.14,4.9
198801,2.05,7.77
198802,5.75,3.84
198803,-2.42,-0.74
198804,-0.41,1.66
198805,-0.32,1.86
198806,5.22,4.22
198807,-1.63,0.24
198808,-3.05,-1.4
198809,4.86,3.49
198810,1.8,2.68
198811,-1.9,-0.67
198812,2.92,1.04
198901,6.75,6.85
198902,-2.05,-0.98
198903,2.5,2.73
198904,5.84,4.04
198905,4.81,3.96
198906,-1.18,0.36
198907,10.11,5.87
198908,1.26,2.46
198909,0.6,0.05
198910,-1.76,-2.72
198911,2.16,0.89
198912,1.54,2.17
199001,-7.78,-7.33
199002,0.65,2.59
199003,4.15,0.55
199004,-1.13,-4.47
199005,10.59,7.07
199006,1.25,-1.39
199007,-1.62,-2.09
199008,-10.19,-10.18
199009,-6.1,-6.69
199010,-0.01,-0.3
199011,7.49,5.16
199012,3.83,2.05
199101,6.52,5.02
199102,8.16,7.73
199103,4.41,3.25
199104,-0.3,0.54
199105,4.64,4.9
199106,-4.89,-3.8
199107,5.33,3.85
199108,3.43,2.39
199109,-1.96,-1.79
199110,1.61,1.82
199111,-2.67,-5.56
199112,14.19,8.75
199201,-1.6,5.31
199202,0.36,6.93
199203,-3.01,-1.03
199204,-0.27,3.08
199205,0.77,0.61
199206,-2.73,-0.1
199207,4.21,2.46
199208,-1.38,-4.49
199209,1.6,1.19
199210,2.56,1.15
199211,5,4.97
199212,0.86,3.75
199301,-0.91,5.65
199302,-2.69,2.72
199303,1.78,2.89
199304,-4.95,-1.4
199305,4.27,1.08
199306,-0.93,3.13
199307,-1.88,1.34
199308,3.51,3.98
199309,-0.53,-0.13
199310,3.37,-0.3
199311,-0.23,-2.2
199312,1.57,2.29
199401,2.4,2.31
199402,-1.68,-3.97
199403,-4.82,-3.57
199404,0.49,1.59
199405,1.03,-0.06
199406,-3.25,-2.5
199407,2.78,3.2
199408,5.4,3.8
199409,-1.26,-3.49
199410,1.88,0.22
199411,-3.27,-4.65
199412,1.44,0.77
199501,1.92,4.2
199502,3.86,5.06
199503,2.96,0.61
199504,2.24,3.49
199505,3.08,5.04
199506,3.8,2.37
199507,4.09,4.03
199508,0.2,3.78
199509,4.35,4.34
199510,-0.12,-2.69
199511,4.19,5.01
199512,0.98,1.47
199601,2.88,2.69
199602,1.89,1.86
199603,0.48,1.24
199604,2.97,-0.23
199605,3.59,3.02
199606,-0.39,0.08
199607,-6.3,-4.1
199608,2.49,3.51
199609,6.56,3.26
199610,0.24,3.5
199611,6.78,6.87
199612,-1.57,-0.1
199701,6.34,4.41
199702,-0.4,3.17
199703,-5.55,-4.45
199704,5.9,2.88
199705,7.41,6.39
199706,4.28,4.57
199707,7.57,7.15
199708,-4.93,-0.88
199709,5.28,6.77
199710,-3.49,-2.86
199711,4.55,2.72
199712,1.01,3.77
199801,2.36,-0.53
199802,7.11,6.87
199803,4.86,6.51
199804,0.85,1.51
199805,-2.47,-0.88
199806,5.31,1.76
199807,-1.17,-5.38
199808,-14.13,-13.66
199809,7.91,5.88
199810,7.84,4.31
199811,7.13,4.37
199812,8.21,3.59
199901,4.95,-1.01
199902,-4.59,-2.6
199903,3.88,0.34
199904,2.56,7.44
199905,-2.34,0.94
199906,6.63,1.55
199907,-2.94,-2.72
199908,-0.03,-3.2
199909,-1.72,-4.26
199910,6.5,0.91
199911,4.43,2.35
199912,8.62,4.7
200001,-4.66,-4.32
200002,2.09,4.1
200003,7.8,6.08
200004,-4.55,-1.91
200005,-3.59,-0.09
200006,5.12,1.81
200007,-3.14,3.63
200008,7.61,6.81
200009,-5.96,0.89
200010,-2.2,1.15
200011,-10.67,-0.64
200012,-0.08,8.99
200101,3.69,1.63
200102,-11.18,0.87
200103,-7.99,-1.34
200104,8.98,4.83
200105,0.53,5.25
200106,-1.99,0.27
200107,-1.97,-0.03
200108,-6.92,-6.17
200109,-8.45,-10.08
200110,3.57,-2.29
200111,7.92,11.22
200112,0.85,3.76
200201,-1.05,-0.61
200202,-2.57,-3.75
200203,3.74,6.53
200204,-7.03,-3.31
200205,-1.55,-2.49
200206,-7.43,-8.38
200207,-6.77,-14.23
200208,-0.11,4.56
200209,-10.72,-8.59
200210,9.64,5.98
200211,5.65,8.2
200212,-6.27,-6.13
200301,-2.82,-4.44
200302,-1.51,-4.19
200303,1.6,-0.85
200304,7.88,11.07
200305,5.31,9.02
200306,1.38,1.38
200307,2.02,2.16
200308,2.24,4.53
200309,-1.16,-2.38
200310,5.34,7.78
200311,0.9,3.17
200312,4.46,5.07
200401,1.56,4.12
200402,1.05,2.27
200403,-1.73,-0.23
200404,-0.36,-4.25
200405,1.23,1.03
200406,1.59,3.1
200407,-4.67,-2.75
200408,-0.39,-0.03
200409,1.1,2.9
200410,1.66,2.42
200411,3.97,6.73
200412,3.57,3.76
200501,-3.23,-1.88
200502,2.05,3.09
200503,-1.45,-0.18
200504,-1.98,-2.87
200505,3.86,4.44
200506,-0.6,3.22
200507,4.75,4.32
200508,-1.33,0.12
200509,0.41,1.66
200510,-1.42,-2.13
200511,4.23,3.07
200512,-0.69,0.02
200601,2.29,4.99
200602,-0.16,-0.77
200603,1.85,2.17
200604,-0.05,2.87
200605,-3.26,-2.09
200606,-0.14,0.7
200607,-1.15,0.17
200608,3.32,0.58
200609,2.4,2.03
200610,3.57,4.43
200611,1.89,2.09
200612,0.28,2.98
200701,1.96,1.32
200702,-1.83,-1.24
200703,0.9,0.33
200704,4.71,3.29
200705,3.3,3.29
200706,-1.08,-2.08
200707,-1.64,-5.84
200708,1.58,-0.08
200709,4.81,2.6
200710,3.19,0.57
200711,-3.39,-5.07
200712,-0.4,-0.51
200801,-7.28,-3.89
200802,-2.26,-4.42
200803,0.5,-0.88
200804,3.81,4.6
200805,2.53,2.12
200806,-7.03,-10.57
200807,-0.92,6.37
200808,1.55,2.1
200809,-9.84,-3.19
200810,-15.8,-21.36
200811,-6.45,-15.74
200812,1.85,2.32
200901,-5.45,-18.78
200902,-8.02,-16.24
200903,8.34,12.72
200904,8.31,17.2
200905,4.49,5.52
200906,1.08,0.27
200907,6.77,10.65
200908,1.67,9.48
200909,3.59,4.93
200910,-0.74,-7.05
200911,6.44,3.92
200912,2.21,3.05
201001,-4.19,-4.08
201002,3.07,5.85
201003,5.31,7.98
201004,0.98,3.02
201005,-7.32,-8.43
201006,-4.48,-9.2
201007,6.75,5.88
201008,-4.22,-6.8
201009,10.27,7.44
201010,4.55,0.92
201011,0.66,-0.41
201012,5.06,10.13
201101,1.92,2.52
201102,2.63,4.71
201103,0.36,-1.16
201104,3.73,1.11
201105,-0.62,-3.07
201106,-1.49,-2.18
201107,-0.98,-3.93
201108,-4.31,-8.54
201109,-6.63,-10.21
201110,10.14,12.65
201111,-0.16,-2.33
201112,-0.15,1.35
201201,5.65,5.96
201202,4.56,5.6
201203,3.63,5.05
201204,-0.52,-2.35
201205,-5.54,-7.71
201206,3.09,5.06
201207,1.09,-0.65
201208,2.41,4.44
201209,1.97,4.25
201210,-2.55,1.15
201211,1.12,-0.16
201212,-0.07,4.95
201301,4.58,7.25
201302,1.35,1.31
201303,3.82,4.1
201304,1.75,1.86
201305,2.08,6.82
201306,-1.7,-1.58
201307,5.7,6.5
201308,-1.74,-4.27
201309,4.17,2.85
201310,4.01,3.8
201311,3.44,4.64
201312,2.11,2.06
201401,-3.18,-3.87
201402,4.95,3.5
201403,-0.72,4.02
201404,0.07,-1.18
201405,2.31,1.24
201406,1.89,3.2
201407,-1.66,-2.63
201408,4.81,4.45
201409,-1.11,-2.41
201410,3.05,1.9
201411,3.61,0.22
201412,-1.18,2.14
201501,-1.64,-6.27
201502,6.55,5.39
201503,-1.2,-0.96
201504,0.16,1.26
201505,1.31,0.95
201506,-1.6,-1.09
201507,2.82,-0.65
201508,-6.31,-6.2
201509,-2.47,-4.26
201510,7.91,6.33
201511,0.71,1.92
201512,-1.41,-3.98
201601,-5.52,-8.03
201602,0,-1.89
201603,6.62,8.23
201604,-0.51,4.62
201605,2.19,0.65
201606,0.02,-2.28
201607,4.98,3.93
201608,-0.37,3.79
201609,0.55,-0.16
201610,-2.26,0.55
201611,2.23,12.86
201612,1.22,3.62
201701,3.21,0.26
201702,4.27,3.54
201703,1.09,-2.36
201704,1.99,-0.72
201705,2.79,-1.91
201706,0.03,4.12
201707,2.37,1.98
201708,1.22,-1.28
201709,1.52,5.06
201710,3.01,2.68
201711,3.29,3.16
201712,1.01,1.76
201801,6.37,4.9
201802,-2.6,-3.99
201803,-2.23,-2.84
201804,0.65,0.68
201805,3.94,0.28
201806,1.12,-1.1
201807,3.27,4.18
201808,5.34,0.98
201809,0.53,-1.86
201810,-8.41,-5.96
201811,1.45,2.09
201812,-8.54,-11.7
201901,8.35,9.35
201902,3.82,1.47
201903,2.66,-2.16
201904,3.95,6.88
