Date,Price
19/03/2021,1741.400024
22/03/2021,1737.800049
23/03/2021,1724.699951
24/03/2021,1732.900024
25/03/2021,1724.900024
26/03/2021,1732.199951
29/03/2021,1712.099976
30/03/2021,1683.900024
31/03/2021,1713.800049
01/04/2021,1726.5
05/04/2021,1727
06/04/2021,1741.5
07/04/2021,1740.099976
08/04/2021,1756.800049
09/04/2021,1743.300049
12/04/2021,1731.199951
13/04/2021,1746.199951
14/04/2021,1734.900024
15/04/2021,1765.400024
16/04/2021,1779
19/04/2021,1769.400024
20/04/2021,1777.300049
21/04/2021,1792.300049
22/04/2021,1781.199951
23/04/2021,1777
26/04/2021,1779.199951
27/04/2021,1778
28/04/2021,1773.199951
29/04/2021,1768.099976
30/04/2021,1767.300049
03/05/2021,1791.400024
04/05/2021,1775.800049
05/05/2021,1784.099976
06/05/2021,1815.5
07/05/2021,1831.099976
10/05/2021,1837.5
11/05/2021,1835.900024
12/05/2021,1822.599976
13/05/2021,1823.800049
14/05/2021,1837.900024
17/05/2021,1867.5
18/05/2021,1867.800049
19/05/2021,1881.300049
20/05/2021,1881.800049
21/05/2021,1876.699951
24/05/2021,1884.599976
25/05/2021,1898.099976
26/05/2021,1901.300049
27/05/2021,1895.699951
28/05/2021,1902.5
01/06/2021,1902.900024
02/06/2021,1907.5
03/06/2021,1871.199951
04/06/2021,1889.800049
07/06/2021,1896.800049
08/06/2021,1892.199951
09/06/2021,1893.199951
10/06/2021,1894.199951
11/06/2021,1877.400024
14/06/2021,1864
15/06/2021,1854.5
16/06/2021,1859.5
17/06/2021,1773.800049
18/06/2021,1767.900024
21/06/2021,1781.800049
22/06/2021,1776.300049
23/06/2021,1782.300049
24/06/2021,1775.599976
25/06/2021,1776.599976
28/06/2021,1779.599976
29/06/2021,1762.800049
30/06/2021,1770.800049
01/07/2021,1775.900024
02/07/2021,1782.599976
06/07/2021,1793.5
07/07/2021,1801.5
08/07/2021,1799.599976
09/07/2021,1810
12/07/2021,1805.5
13/07/2021,1809.400024
14/07/2021,1824.300049
15/07/2021,1828.400024
16/07/2021,1814.5
19/07/2021,1808.699951
20/07/2021,1810.900024
21/07/2021,1802.900024
22/07/2021,1805
23/07/2021,1801.400024
26/07/2021,1798.699951
27/07/2021,1799.5
28/07/2021,1799.5
29/07/2021,1831.199951
30/07/2021,1812.599976
02/08/2021,1818.099976
03/08/2021,1810.099976
04/08/2021,1810.5
05/08/2021,1805.099976
06/08/2021,1760
09/08/2021,1723.400024
10/08/2021,1728.800049
11/08/2021,1750.400024
12/08/2021,1749
13/08/2021,1775.199951
16/08/2021,1786.900024
17/08/2021,1785
18/08/2021,1781.599976
19/08/2021,1780.199951
20/08/2021,1781
23/08/2021,1803.199951
24/08/2021,1805.599976
25/08/2021,1788.199951
26/08/2021,1792.199951
27/08/2021,1816.599976
30/08/2021,1809
31/08/2021,1815
01/09/2021,1813.099976
02/09/2021,1808.699951
03/09/2021,1830.900024
07/09/2021,1795.900024
08/09/2021,1790.699951
09/09/2021,1797.400024
10/09/2021,1789.599976
13/09/2021,1792
14/09/2021,1804.699951
15/09/2021,1792.400024
16/09/2021,1754.599976
17/09/2021,1749.400024
20/09/2021,1761.800049
21/09/2021,1776
22/09/2021,1776.699951
23/09/2021,1747.699951
24/09/2021,1749.699951
27/09/2021,1750
28/09/2021,1735.800049
29/09/2021,1721.5
30/09/2021,1755.300049
01/10/2021,1757
04/10/2021,1766.199951
05/10/2021,1759.599976
06/10/2021,1760.5
07/10/2021,1757.900024
08/10/2021,1756.300049
11/10/2021,1754.599976
12/10/2021,1758.300049
13/10/2021,1793.699951
14/10/2021,1796.699951
15/10/2021,1767.199951
18/10/2021,1764.800049
19/10/2021,1769.699951
20/10/2021,1784.099976
21/10/2021,1781.199951
22/10/2021,1795.5
25/10/2021,1806
26/10/2021,1792.699951
27/10/2021,1797.900024
28/10/2021,1801.599976
29/10/2021,1783
01/11/2021,1795.099976
02/11/2021,1788.699951
03/11/2021,1763.599976
04/11/2021,1793
05/11/2021,1816.400024
08/11/2021,1827.400024
09/11/2021,1830.199951
10/11/2021,1847.599976
11/11/2021,1863.199951
12/11/2021,1867.900024
15/11/2021,1866.099976
16/11/2021,1853.599976
17/11/2021,1869.699951
18/11/2021,1861
19/11/2021,1851.199951
22/11/2021,1806
23/11/2021,1783.5
24/11/2021,1784.099976
26/11/2021,1785.300049
29/11/2021,1782.300049
30/11/2021,1773.599976
01/12/2021,1781.599976
02/12/2021,1760.699951
03/12/2021,1782
06/12/2021,1777.5
07/12/2021,1782.599976
08/12/2021,1783.400024
09/12/2021,1774.599976
10/12/2021,1782.900024
13/12/2021,1786.300049
14/12/2021,1770.400024
15/12/2021,1762.599976
16/12/2021,1796.599976
17/12/2021,1803.800049
20/12/2021,1793.699951
21/12/2021,1787.900024
22/12/2021,1801.599976
23/12/2021,1811.199951
27/12/2021,1808.099976
28/12/2021,1810.199951
29/12/2021,1805.099976
30/12/2021,1812.699951
31/12/2021,1827.5
03/01/2022,1799.400024
04/01/2022,1814
05/01/2022,1824.599976
06/01/2022,1788.699951
