Date,fb,amzn,brk
13/11/2013,48.709999,356.220001,114.809998
14/11/2013,48.990002,367.399994,115.690002
15/11/2013,49.009998,369.170013,116.300003
18/11/2013,45.830002,366.179993,115.900002
19/11/2013,46.360001,364.940002,115.839996
20/11/2013,46.43,362.570007,114.900002
21/11/2013,46.700001,368.920013,116.419998
22/11/2013,46.23,372.309998,116.959999
25/11/2013,44.82,376.640015,115.629997
26/11/2013,45.889999,381.369995,116.580002
27/11/2013,46.490002,386.709991,116.580002
29/11/2013,47.009998,393.619995,116.529999
02/12/2013,47.060001,392.299988,115.330002
03/12/2013,46.73,384.660004,114.790001
04/12/2013,48.619999,385.959991,115.300003
05/12/2013,48.34,384.48999,114.959999
06/12/2013,47.939999,386.950012,116.660004
09/12/2013,48.84,384.890015,117.139999
10/12/2013,50.25,387.779999,115.610001
11/12/2013,49.380001,382.190002,114.510002
12/12/2013,51.830002,381.25,114.379997
13/12/2013,53.32,384.23999,114.059998
16/12/2013,53.810001,388.970001,113.959999
17/12/2013,54.860001,387.649994,113.629997
18/12/2013,55.57,395.959991,116.139999
19/12/2013,55.049999,395.190002,116.360001
20/12/2013,55.119999,402.200012,115.599998
23/12/2013,57.77,402.920013,117.040001
24/12/2013,57.959999,399.200012,117.43
26/12/2013,57.73,404.390015,117.989998
27/12/2013,55.439999,398.079987,118
30/12/2013,53.709999,393.369995,118.040001
31/12/2013,54.650002,398.790009,118.559998
02/01/2014,54.709999,397.970001,117.5
03/01/2014,54.560001,396.440002,117.57
06/01/2014,57.200001,393.630005,116.279999
07/01/2014,57.919998,398.029999,116.190002
08/01/2014,58.23,401.920013,115.339996
09/01/2014,57.220001,401.01001,115.32
10/01/2014,57.939999,397.660004,114.970001
13/01/2014,55.91,390.980011,114.010002
14/01/2014,57.740002,397.540009,114.959999
15/01/2014,57.599998,395.869995,115.849998
16/01/2014,57.189999,395.799988,115.239998
17/01/2014,56.299999,399.609985,115.07
21/01/2014,58.509998,407.049988,115.150002
22/01/2014,57.509998,404.540009,115.260002
23/01/2014,56.630001,399.869995,113.5
24/01/2014,54.450001,387.600006,111.809998
27/01/2014,53.549999,386.279999,111.5
28/01/2014,55.139999,394.429993,112.010002
29/01/2014,53.529999,384.200012,111.279999
30/01/2014,61.080002,403.01001,113
31/01/2014,62.57,358.690002,111.599998
03/02/2014,61.48,346.149994,108.989998
04/02/2014,62.75,347.950012,109.129997
05/02/2014,62.189999,346.450012,108.779999
06/02/2014,62.16,354.589996,110.160004
07/02/2014,64.32,361.079987,112.610001
10/02/2014,63.549999,360.869995,112.610001
11/02/2014,64.849998,361.790009,113.610001
12/02/2014,64.449997,349.25,113.300003
13/02/2014,67.330002,357.200012,114.699997
14/02/2014,67.089996,357.350006,114.949997
18/02/2014,67.300003,353.649994,114.730003
19/02/2014,68.059998,347.380005,113.360001
20/02/2014,69.629997,349.799988,113.099998
21/02/2014,68.589996,346.76001,113.18
24/02/2014,70.779999,351.779999,113.199997
25/02/2014,69.849998,358.320007,113.940002
26/02/2014,69.260002,359.799988,113.699997
27/02/2014,68.940002,360.130005,114.580002
28/02/2014,68.459999,362.100006,115.779999
03/03/2014,67.410004,359.779999,116.059998
04/03/2014,68.800003,363.899994,118.57
05/03/2014,71.57,372.369995,118.980003
06/03/2014,70.839996,372.160004,121.199997
07/03/2014,69.800003,372.059998,122.669998
10/03/2014,72.029999,370.529999,124.099998
11/03/2014,70.099998,368.820007,124.690002
12/03/2014,70.879997,370.640015,125.169998
13/03/2014,68.830002,371.51001,123.610001
14/03/2014,67.720001,373.73999,122.510002
17/03/2014,68.739998,375.040009,123.360001
18/03/2014,69.190002,378.769989,123.279999
19/03/2014,68.239998,373.230011,122.620003
20/03/2014,66.970001,368.970001,124.440002
21/03/2014,67.239998,360.619995,125.199997
24/03/2014,64.099998,351.850006,124.32
25/03/2014,64.889999,354.709991,124.470001
26/03/2014,60.389999,343.410004,123.010002
27/03/2014,60.970001,338.470001,123.470001
28/03/2014,60.009998,338.290009,123.529999
31/03/2014,60.240002,336.369995,124.970001
01/04/2014,62.619999,342.98999,124.879997
02/04/2014,62.720001,341.959991,124.470001
03/04/2014,59.490002,333.619995,124.309998
04/04/2014,56.75,323,123.900002
07/04/2014,56.950001,317.76001,123.120003
08/04/2014,58.189999,327.070007,123.129997
09/04/2014,62.41,331.809998,124.010002
10/04/2014,59.16,317.109985,122.269997
11/04/2014,58.529999,311.730011,121.699997
14/04/2014,58.889999,315.910004,122.290001
15/04/2014,59.09,316.079987,123.769997
16/04/2014,59.720001,323.679993,126
17/04/2014,58.939999,324.910004,127.18
21/04/2014,61.240002,330.869995,126.5
22/04/2014,63.029999,329.320007,127.150002
23/04/2014,61.360001,324.579987,127.199997
24/04/2014,60.869999,337.149994,126.949997
25/04/2014,57.709999,303.829987,127.260002
28/04/2014,56.139999,296.579987,127.699997
29/04/2014,58.150002,300.380005,128.490005
30/04/2014,59.779999,304.130005,128.850006
01/05/2014,61.150002,307.890015,129.059998
02/05/2014,60.459999,308.01001,128.089996
05/05/2014,61.220001,310.049988,126.610001
06/05/2014,58.529999,297.380005,124.669998
07/05/2014,57.389999,292.709991,127.449997
08/05/2014,56.759998,288.320007,126.669998
09/05/2014,57.240002,292.23999,127.339996
12/05/2014,59.830002,302.859985,127.290001
13/05/2014,59.830002,304.640015,127.889999
14/05/2014,59.23,297.619995,127.529999
15/05/2014,57.919998,295.190002,126.360001
16/05/2014,58.02,297.700012,126.860001
19/05/2014,59.209999,296.76001,127.129997
20/05/2014,58.560001,301.190002,126.059998
21/05/2014,60.490002,305.01001,126.660004
22/05/2014,60.52,304.910004,126.980003
23/05/2014,61.349998,312.23999,126.800003
27/05/2014,63.48,310.820007,127.519997
28/05/2014,63.509998,310.160004,127.459999
29/05/2014,63.830002,313.779999,128.110001
30/05/2014,63.299999,312.549988,128.339996
02/06/2014,63.080002,308.839996,127.879997
03/06/2014,62.869999,307.190002,126.93
04/06/2014,63.34,306.779999,127.230003
05/06/2014,63.189999,323.570007,128.199997
