Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99,Asset100
196509,7.08,9.08,8.45,8.76,10.35,9.37,11.01,9.28,9.68,9.62,25.31,23.64,23.94,22.16,26.2,22.53,23.25,26.06,26.66,24.4,35.49,39.29,37.63,35.57,36.9,38.33,35.88,37.1,36.08,39.58,53,52.41,55.19,51.65,55.15,49.65,50.74,57.2,53.74,59.44,77.58,75.03,81.57,83.77,75.06,77.15,76.4,75.23,76.54,75.78,108.7,130.61,118.47,104.84,115.78,106.29,110.2,111.88,116.84,109.49,168.16,157.09,161.55,173.76,176.04,162.47,165.04,176.67,180.07,170.23,333.92,284.66,274.55,288.14,304.12,307.69,315.55,281.25,284.76,302.59,636.23,500.88,632.92,553.61,643.8,510.06,533.84,532.57,567.09,526,1082.25,2302.66,2619.75,5045.46,2337.93,1975.91,1560.79,1391.33,2018.01,5131.95
196510,7.34,9.53,8.75,9.36,11.25,9.99,11.55,9.54,9.73,10,26.71,24.09,23.91,22.21,27.6,22.67,23.19,27.6,27.79,25.5,36,42.71,41.43,36.1,37.21,39.61,36.04,37.2,35.84,41.19,56.4,54.83,55.95,54.16,59.99,50.24,53.52,60.49,56.05,59.37,81.1,77.62,92.36,86.82,81.63,80.24,77.75,76.5,83.37,76.19,107.57,135.58,127.76,105.89,120.71,105.67,113.98,114.1,118.88,112.33,176.34,159.37,162.29,181.41,182.38,165.99,170.4,185.89,188.11,172.8,337.41,305.05,280.74,290.84,307.9,312.23,323.32,289.55,297.73,324.05,659.84,528.38,654.69,563.1,652.74,520.73,544.21,540.17,595.62,536.83,1126.35,2379.75,2725.59,5063.41,2423.78,2068.53,1605.3,1439.01,2093.01,5349.74
196511,7.93,10.49,9.18,10.17,11.9,10.98,12.67,10,10.62,10.56,27.85,26.63,25.87,23,29.6,24.16,24.41,29.45,30.26,28,38.14,44.74,45.45,37.76,38.28,41,37.28,38.99,37.05,46.46,62.42,56.92,57.09,58.45,60.04,52.55,52.6,63.93,59.83,62.07,85.64,81.86,98.58,93.71,87.67,83.67,81.87,79.41,90.87,80.88,107.18,141.36,141.01,113.14,123.71,109.67,115.91,123.94,124.77,118.21,186.81,163.7,165.06,187.41,190.3,165.21,173.58,194.95,197.84,183.55,379.79,312.22,284.54,304.67,313.05,324.88,334.71,296.22,309.52,353.4,659.9,555.16,675.83,578.24,655.9,534.36,555.05,556.38,628.64,544.76,1160.28,2419.04,2751.64,5006.18,2483.04,2072.68,1637.87,1475.11,2237.25,5568.32
196512,8.74,12.08,9.69,11.05,12.52,11.44,13.99,10.31,11.24,11.37,29.13,27.79,26.93,24.31,31.59,24.87,25.22,31.34,30.43,27.9,39.45,45.02,48.03,37.99,40.06,41.27,37.72,39.03,38.31,51.28,65.09,61.68,64.69,59.26,65.49,52.72,53.08,64.77,64.04,63.52,86.68,84.69,107.45,98.46,90.52,87.33,82.44,82.75,97.96,83.94,107.93,139.65,143.37,112.14,126.8,115.4,115.54,137.09,126.19,133.04,199.14,159.26,170.31,193.67,198.92,168.3,176.98,204.29,205.67,195.7,367.98,309.57,301.59,297.83,318.54,333.44,334.39,310.46,322.83,384.31,659.97,582.16,652.41,580.81,652.97,540.45,566.05,562.74,657.53,575.63,1200.99,2425.76,2731.65,4815.81,2442.99,2017.27,1624.7,1491.98,2223.41,5408.79
196601,9.29,12.37,10.14,11.22,13.2,12.28,14.18,10.92,11.5,12.55,29.66,29.3,27.88,23.65,32.01,28.1,26.13,30.9,30.02,31.12,42.69,46.13,50.38,38.05,41.71,43.79,38.56,40.83,38.74,53.1,75.59,61.97,66.7,61.37,67.14,53.48,55.23,64.98,69.25,64.26,91.78,86.07,112.33,98.17,100.69,87.42,84.32,84.08,96.7,85.62,108.16,136.29,154.45,118.94,131.43,112.08,118.81,137.51,128.66,138.01,221.31,163.73,174.56,194.94,205.92,172.47,183.93,201.38,208.56,206.51,404.37,317.81,299.12,310.4,325.29,346.25,330.49,306.56,324.23,386.79,713.77,567.24,669.33,598.76,674,525.81,580.49,565,660.09,581.53,1190.81,2444.92,2746.92,4806.13,2484.02,2041.21,1635.95,1493.15,2282.91,5382.17
196602,10.14,13.37,10.74,12.64,13.65,13.33,16.21,11.66,12.36,13.45,32.73,31.22,29.84,27.71,33.58,28.24,27.15,33.38,31.31,32.2,47.01,50.36,54.03,41.25,43.98,47.25,38.12,41.27,40.88,57.61,80.13,65.61,70.71,65.93,73.43,54.6,55.22,66.06,69.94,68.47,102.59,91.1,116.09,102.34,101.97,91.26,89.65,89.02,101.52,85.24,118.77,136.31,157.38,122.21,136.29,113.83,120.75,142.84,140.21,141.24,232,167.31,175.63,204.68,218.51,172.27,183.76,200.78,215.99,207.15,458.56,334.47,310.88,320.74,333.25,347.74,340.03,308.54,334.44,412.23,742.49,628.37,709.23,596.97,720.06,512.41,594.79,574.83,687.32,596.73,1272.23,2445.88,2802.74,4669.12,2454.56,1998.26,1603.49,1492.42,2310.57,5395.98
196603,11.2,13.02,11.41,13.5,14.61,14.45,17.39,12.14,12.79,14.38,33.64,32.49,33.39,29.17,34.13,28.26,28.34,34.4,30.62,34.15,51.35,51.26,56.63,41.85,44.51,45,38.08,39.35,40.19,63.41,84.75,64.66,70.38,64.72,72.5,54.38,53.16,69.11,70.12,65.72,109.97,92.16,120.51,105.79,105.45,95.24,85.35,88.21,105.34,87.39,114.98,132.38,173.56,121.31,140.21,111.95,122.6,139.08,138.21,143.99,247.46,170.64,175.08,209.79,220.62,174.04,180.32,196.51,221.41,208.35,415.18,330.69,298.7,319.71,331.68,336.86,345.05,304.1,330.6,445.79,792.27,591.9,693.86,584.54,727.82,491.9,572.72,566.58,699.53,594.74,1211.17,2321.5,2692.78,4637.77,2344.44,1900.96,1551.68,1484.39,2282.44,5307.5
196604,11.24,12.85,11.51,13.29,14.34,13.86,17.71,11.35,12.83,15.04,32.85,31.31,34.25,28.28,32.41,26.35,28.27,31.4,31.32,32.84,49.15,50.04,52.97,40.16,44.4,44.65,36.09,38.42,38.54,63.68,82.04,66.85,67.47,62.25,70.61,53.04,52.18,65.47,66.27,64.41,101.37,88.01,112.03,106.91,101.88,90.78,91.39,84.88,97.52,86.31,107.96,127.46,161.3,116.49,141.32,109.3,116.19,144.26,132.84,141.21,234.41,160.91,166.44,204,208.5,168.53,174.98,189.93,219.43,220.64,446.75,329.17,286.93,304.34,324.16,328.49,331.73,302.9,331.68,456.69,748.39,570.08,676.85,562.31,718.3,489.69,574.16,578.33,701.33,604.4,1061.89,2255.86,2612.17,4449.37,2278.81,1872.77,1501.48,1450.76,2285.1,5174.76
196605,11.81,13.85,11.64,14.18,14.74,15.18,19.85,12.42,13.77,17.27,35.45,31.92,33.99,29.68,34.85,27.14,29.82,32.19,33.05,35.09,53.3,57.43,60.07,40.78,46.85,48.45,37.45,38.57,40.01,65.44,85.43,69.31,71.39,65.29,74.73,53.18,53.3,65.25,69.83,65.46,105.02,91.84,118.42,109.05,107.53,90.77,98.91,90.71,108.51,89.9,106.44,137.35,167.89,120.81,148.28,110.78,117.76,162.73,137.51,142.84,238.49,167.26,170.1,213.42,223.54,173.62,178.28,195.84,224.84,234.82,482.05,326.47,297.43,296.47,336.41,341.08,341.87,315.61,337.9,482.09,738.07,583.45,707.09,564.38,727.59,498.18,581.81,577.11,724.42,617.17,1038.14,2281.1,2644.08,4505.9,2322.18,1948.3,1514.01,1522.61,2392.31,5169.6
196606,10.08,12.12,10.44,12.11,13.14,13.49,17.01,11.01,11.81,14.63,31.89,28.48,31,28.35,31.45,23.92,27.59,29.23,32.25,31.49,47.23,53.29,51.73,37.89,42.41,43.81,35.11,34.78,36.23,58.32,74.09,61.9,64.06,60.15,64.4,49.82,47.46,57.68,63.24,60.78,89.2,83.21,105.64,98.58,94.67,82.21,96.35,81.14,106.23,83.21,108.61,134.99,148.54,109.07,134.84,101.29,109.49,151.84,124.98,131.77,202.97,154.95,157.79,197.02,208.03,164.13,167.85,185.05,215.85,213.11,443.24,305.11,277.48,279.4,311.73,324.78,323.22,296.02,316.29,452.43,667.91,538.25,648.28,529.85,677.38,471.57,565.35,544.63,675.18,587.39,997.43,2159.63,2505.23,4321.91,2196.48,1856.14,1473.46,1422.44,2277.79,4938.37
